run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,arrival_departure,scheduled_charter,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_unmatched_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
22/07/2022 16:26,202205,ABERDEEN,UNITED KINGDOM,NEWQUAY,LOGANAIR LTD,A,S,30,0,0,0.000000,6.666667,23.333333,23.333333,20.000000,23.333333,3.333333,0.000000,0.000000,0.000000,0.000000,38,1,50.000000,0
22/07/2022 16:26,202205,ABERDEEN,UNITED KINGDOM,NEWQUAY,LOGANAIR LTD,D,S,27,0,0,0.000000,11.111111,44.444444,22.222222,7.407407,3.703704,7.407407,0.000000,3.703704,0.000000,0.000000,79,0,0.000000,
22/07/2022 16:26,202205,ABERDEEN,UNITED KINGDOM,NORWICH,LOGANAIR LTD,A,S,33,0,0,0.000000,36.363636,21.212121,9.090909,12.121212,15.151515,3.030303,3.030303,0.000000,0.000000,0.000000,36,34,76.190476,4
22/07/2022 16:26,202205,ABERDEEN,UNITED KINGDOM,NORWICH,LOGANAIR LTD,D,S,32,0,1,0.000000,12.121212,51.515152,12.121212,9.090909,12.121212,0.000000,0.000000,0.000000,0.000000,3.030303,20,34,76.744186,3
22/07/2022 16:26,202205,ABERDEEN,UNITED KINGDOM,SUMBURGH,EASTERN AIRWAYS,A,S,1,0,2,0.000000,0.000000,33.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.666667,11,0,0.000000,
22/07/2022 16:26,202205,ABERDEEN,UNITED KINGDOM,SUMBURGH,EASTERN AIRWAYS,D,S,1,0,2,0.000000,0.000000,33.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.666667,14,0,0.000000,
22/07/2022 16:26,202205,ABERDEEN,UNITED KINGDOM,SUMBURGH,LOGANAIR LTD,A,S,84,0,1,3.529412,34.117647,22.352941,9.411765,11.764706,16.470588,1.176471,0.000000,0.000000,0.000000,1.176471,23,53,67.692308,9
22/07/2022 16:26,202205,ABERDEEN,UNITED KINGDOM,SUMBURGH,LOGANAIR LTD,D,S,85,0,2,0.000000,13.793103,45.977011,9.195402,13.793103,13.793103,1.149425,0.000000,0.000000,0.000000,2.298851,25,57,64.705882,20
22/07/2022 16:26,202205,ABERDEEN,UNITED KINGDOM,SOUTHAMPTON,LOGANAIR LTD,A,S,17,0,1,0.000000,44.444444,27.777778,5.555556,11.111111,5.555556,0.000000,0.000000,0.000000,0.000000,5.555556,14,0,0.000000,
22/07/2022 16:26,202205,ABERDEEN,UNITED KINGDOM,SOUTHAMPTON,LOGANAIR LTD,D,S,18,0,1,0.000000,26.315789,57.894737,0.000000,0.000000,10.526316,0.000000,0.000000,0.000000,0.000000,5.263158,13,8,60.000000,23
